"filename", "language", "pip requirements", "Python", "Ini", "HTML", "Docker", "YAML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Neto\Desktop\folga_system\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 7, 7, 21
"c:\Users\Neto\Desktop\folga_system\app.py", "Python", 0, 528, 0, 0, 0, 0, 0, 0, 85, 129, 742
"c:\Users\Neto\Desktop\folga_system\criar_banco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Neto\Desktop\folga_system\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\Neto\Desktop\folga_system\migrations\alembic.ini", "Ini", 0, 0, 39, 0, 0, 0, 0, 0, 0, 13, 52
"c:\Users\Neto\Desktop\folga_system\migrations\env.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 17, 31, 114
"c:\Users\Neto\Desktop\folga_system\migrations\versions\8c572fff25a9_aumenta_o_tamanho_da_coluna_tipo_para_.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 5, 11, 39
"c:\Users\Neto\Desktop\folga_system\migrations\versions\ccfff68c77d4_adicionando_status_no_modelo_user.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 5, 11, 33
"c:\Users\Neto\Desktop\folga_system\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Neto\Desktop\folga_system\requirements.txt", "pip requirements", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Neto\Desktop\folga_system\static\css\agendar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 67, 5, 10, 82
"c:\Users\Neto\Desktop\folga_system\static\css\calendario.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 141, 3, 23, 167
"c:\Users\Neto\Desktop\folga_system\static\css\deferir_folgas.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 233, 23, 42, 298
"c:\Users\Neto\Desktop\folga_system\static\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 449, 27, 77, 553
"c:\Users\Neto\Desktop\folga_system\static\js\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 6, 7, 59
"c:\Users\Neto\Desktop\folga_system\templates\agendar.html", "HTML", 0, 0, 0, 252, 0, 0, 0, 0, 11, 44, 307
"c:\Users\Neto\Desktop\folga_system\templates\aprovar_usuarios.html", "HTML", 0, 0, 0, 221, 0, 0, 0, 0, 2, 37, 260
"c:\Users\Neto\Desktop\folga_system\templates\banco_horas.html", "HTML", 0, 0, 0, 115, 0, 0, 0, 0, 10, 19, 144
"c:\Users\Neto\Desktop\folga_system\templates\cadastrar_horas.html", "HTML", 0, 0, 0, 152, 0, 0, 0, 0, 1, 27, 180
"c:\Users\Neto\Desktop\folga_system\templates\calendario.html", "HTML", 0, 0, 0, 354, 0, 0, 0, 0, 0, 55, 409
"c:\Users\Neto\Desktop\folga_system\templates\consultar_horas.html", "HTML", 0, 0, 0, 114, 0, 0, 0, 0, 0, 14, 128
"c:\Users\Neto\Desktop\folga_system\templates\deferir_folgas.html", "HTML", 0, 0, 0, 248, 0, 0, 0, 0, 2, 36, 286
"c:\Users\Neto\Desktop\folga_system\templates\deferir_horas.html", "HTML", 0, 0, 0, 203, 0, 0, 0, 0, 2, 34, 239
"c:\Users\Neto\Desktop\folga_system\templates\historico.html", "HTML", 0, 0, 0, 149, 0, 0, 0, 0, 0, 22, 171
"c:\Users\Neto\Desktop\folga_system\templates\index.html", "HTML", 0, 0, 0, 108, 0, 0, 0, 0, 6, 22, 136
"c:\Users\Neto\Desktop\folga_system\templates\login.html", "HTML", 0, 0, 0, 57, 0, 0, 0, 0, 1, 9, 67
"c:\Users\Neto\Desktop\folga_system\templates\menu_banco_horas.html", "HTML", 0, 0, 0, 74, 0, 0, 0, 0, 2, 13, 89
"c:\Users\Neto\Desktop\folga_system\templates\minhas_justificativas.html", "HTML", 0, 0, 0, 160, 0, 0, 0, 0, 4, 23, 187
"c:\Users\Neto\Desktop\folga_system\templates\perfil.html", "HTML", 0, 0, 0, 160, 0, 0, 0, 0, 5, 28, 193
"c:\Users\Neto\Desktop\folga_system\templates\recuperar_senha.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 5, 51
"c:\Users\Neto\Desktop\folga_system\templates\redefinir_senha.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"c:\Users\Neto\Desktop\folga_system\templates\register.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 13, 15, 83
"Total", "-", 23, 639, 39, 2514, 7, 26, 46, 890, 242, 778, 5204
